,zip,lat,lng,city,state_id,state_name
26831,77449,29.83556,-95.73813,Katy,TX,Texas
26868,77494,29.7433,-95.82862,Katy,TX,Texas
2888,11368,40.74959,-73.8526,Corona,NY,New York
27784,79936,31.77618,-106.29786,El Paso,TX,Texas
30011,90011,34.00714,-118.25874,Los Angeles,CA,California
20718,60629,41.77567,-87.71176,Chicago,IL,Illinois
25868,75034,33.15195,-96.86036,Frisco,TX,Texas
2899,11385,40.70102,-73.89013,Ridgewood,NY,New York
26729,77084,29.82642,-95.66213,Houston,TX,Texas
30217,91331,34.25562,-118.42076,Pacoima,CA,California
30134,90650,33.90685,-118.08263,Norwalk,CA,California
25893,75070,33.17311,-96.69773,Mckinney,TX,Texas
2845,11211,40.71244,-73.95299,Brooklyn,NY,New York
2486,8701,40.07645,-74.20323,Lakewood,NJ,New Jersey
30070,90201,33.97072,-118.17079,Bell Gardens,CA,California
2842,11208,40.66855,-73.87103,Brooklyn,NY,New York
2667,10467,40.88081,-73.87392,Bronx,NY,New York
2869,11236,40.63958,-73.90107,Brooklyn,NY,New York
2860,11226,40.64639,-73.9568,Brooklyn,NY,New York
30043,90044,33.95278,-118.29188,Los Angeles,CA,California
30485,92335,34.08717,-117.46549,Fontana,CA,California
30486,92336,34.14648,-117.46394,Fontana,CA,California
11908,37013,36.04709,-86.63244,Antioch,TN,Tennessee
31057,94565,38.01584,-121.90708,Pittsburg,CA,California
30086,90250,33.91436,-118.34931,Hawthorne,CA,California
30163,90805,33.86493,-118.18055,Long Beach,CA,California
30532,92503,33.88162,-117.44479,Riverside,CA,California
25880,75052,32.6659,-97.02649,Grand Prairie,TX,Texas
20708,60618,41.947,-87.70244,Chicago,IL,Illinois
30100,90280,33.9446,-118.19262,South Gate,CA,California
30220,91342,34.31515,-118.38506,Sylmar,CA,California
2893,11373,40.73886,-73.87858,Elmhurst,NY,New York
26857,77479,29.56646,-95.63557,Sugar Land,TX,Texas
2867,11234,40.60602,-73.91071,Brooklyn,NY,New York
116,926,18.3462,-66.05234,San Juan,PR,Puerto Rico
2854,11220,40.64115,-74.01651,Brooklyn,NY,New York
2656,10456,40.83003,-73.90815,Bronx,NY,New York
2848,11214,40.59866,-73.99636,Brooklyn,NY,New York
2591,10025,40.79857,-73.96659,New York,NY,New York
30266,91710,34.00447,-117.68468,Chino,CA,California
9604,30043,34.00303,-84.00744,Lawrenceville,GA,Georgia
27350,78660,30.44304,-97.59548,Pflugerville,TX,Texas
30607,92683,33.75252,-117.99406,Westminster,CA,California
2841,11207,40.67073,-73.89429,Brooklyn,NY,New York
27250,78521,25.95038,-97.32168,Brownsville,TX,Texas
26817,77433,29.94911,-95.73923,Cypress,TX,Texas
26918,77584,29.546,-95.35081,Pearland,TX,Texas
30623,92804,33.81826,-117.97506,Anaheim,CA,California
20721,60632,41.81133,-87.71335,Chicago,IL,Illinois
2650,10314,40.59913,-74.16572,Staten Island,NY,New York
2853,11219,40.63267,-73.99669,Brooklyn,NY,New York
25978,75217,32.71217,-96.68118,Dallas,TX,Texas
9605,30044,33.92215,-84.06915,Lawrenceville,GA,Georgia
30413,92154,32.56762,-117.00305,San Diego,CA,California
26814,77429,29.99104,-95.6588,Cypress,TX,Texas
2840,11206,40.70187,-73.94235,Brooklyn,NY,New York
30614,92704,33.72052,-117.90808,Santa Ana,CA,California
20727,60639,41.92058,-87.75607,Chicago,IL,Illinois
26911,77573,29.50205,-95.08652,League City,TX,Texas
20735,60647,41.92065,-87.70175,Chicago,IL,Illinois
9359,29483,33.05135,-80.18747,Summerville,SC,South Carolina
31192,95076,36.93927,-121.74841,Watsonville,CA,California
30752,93307,35.24849,-118.93629,Bakersfield,CA,California
2863,11230,40.62214,-73.96506,Brooklyn,NY,New York
30509,92376,34.1112,-117.37884,Rialto,CA,California
2658,10458,40.86244,-73.88826,Bronx,NY,New York
30279,91744,34.0289,-117.93731,La Puente,CA,California
30567,92592,33.5111,-117.03089,Temecula,CA,California
30977,94112,37.72031,-122.4429,San Francisco,CA,California
30665,93033,34.15212,-119.12648,Oxnard,CA,California
30904,93722,36.80092,-119.87723,Fresno,CA,California
30908,93727,36.75155,-119.6806,Fresno,CA,California
27785,79938,31.83091,-105.97012,El Paso,TX,Texas
30314,91911,32.60736,-117.05404,Chula Vista,CA,California
2896,11377,40.74482,-73.90522,Woodside,NY,New York
20707,60617,41.71591,-87.55432,Chicago,IL,Illinois
2855,11221,40.69136,-73.92787,Brooklyn,NY,New York
2862,11229,40.60083,-73.94401,Brooklyn,NY,New York
27356,78666,29.87958,-97.96642,San Marcos,TX,Texas
30400,92126,32.90847,-117.1414,San Diego,CA,California
20752,60804,41.83783,-87.76014,Cicero,IL,Illinois
6826,22193,38.64308,-77.34807,Woodbridge,VA,Virginia
30493,92345,34.38212,-117.30939,Hesperia,CA,California
27312,78613,30.50395,-97.82462,Cedar Park,TX,Texas
30218,91335,34.20105,-118.54067,Reseda,CA,California
22863,66062,38.83455,-94.77798,Olathe,KS,Kansas
2653,10453,40.85225,-73.91358,Bronx,NY,New York
2857,11223,40.59715,-73.97359,Brooklyn,NY,New York
30538,92509,34.00326,-117.44494,Jurupa Valley,CA,California
26790,77379,30.03912,-95.53382,Spring,TX,Texas
20713,60623,41.84808,-87.71778,Chicago,IL,Illinois
2875,11355,40.75148,-73.82092,Flushing,NY,New York
30265,91709,33.96432,-117.73599,Chino Hills,CA,California
27278,78572,26.2281,-98.37666,Mission,TX,Texas
56,725,18.21857,-66.04275,Caguas,PR,Puerto Rico
20698,60608,41.84878,-87.67131,Chicago,IL,Illinois
8542,27610,35.74598,-78.54647,Raleigh,NC,North Carolina
32845,99301,46.38449,-118.94392,Pasco,WA,Washington
31039,94544,37.63382,-122.05719,Hayward,CA,California
31173,95035,37.44421,-121.87432,Milpitas,CA,California
